Family_Size,Deck,Title,Survived
1,7,11,0
1,2,12,1
0,7,8,1
1,2,12,1
0,7,11,0
0,7,11,0
0,4,11,0
4,7,7,0
2,7,12,1
1,7,12,1
2,6,8,1
0,2,8,1
0,7,11,0
6,7,11,0
0,7,8,0
0,7,12,1
5,7,7,0
0,7,11,1
1,7,12,0
0,7,12,1
0,7,11,0
0,3,11,1
0,7,8,1
0,0,11,1
4,7,8,0
6,7,12,1
0,7,11,0
5,2,11,0
0,7,8,1
0,7,11,0
0,7,2,0
1,1,12,1
0,7,8,1
0,7,11,0
1,7,11,0
1,7,11,0
0,7,11,1
0,7,11,0
2,7,8,0
1,7,8,1
1,7,12,0
1,7,12,0
0,7,11,0
3,7,8,1
0,7,8,1
0,7,11,0
1,7,11,0
0,7,8,1
2,7,11,0
1,7,12,0
5,7,7,0
0,7,11,0
1,3,12,1
1,7,12,1
1,1,11,0
0,2,11,1
0,7,8,1
0,7,11,0
3,7,8,1
7,7,7,0
0,7,11,0
0,1,8,1
1,2,11,0
5,7,7,0
0,7,11,0
2,7,7,1
0,5,12,1
0,7,11,0
6,7,8,1
2,7,11,0
0,7,11,0
7,7,8,0
0,7,11,0
1,7,11,0
0,7,11,1
0,5,11,0
0,7,11,0
0,7,11,0
2,7,7,1
0,7,8,1
0,7,11,0
0,7,11,1
0,7,8,1
0,7,11,0
0,7,8,1
3,7,12,1
4,7,11,0
0,7,11,0
5,2,8,1
0,7,11,0
0,7,11,0
0,7,11,0
1,4,11,0
3,7,11,0
0,7,11,0
0,7,11,0
0,0,11,0
1,3,11,1
1,7,12,1
1,7,11,0
0,7,8,0
0,7,11,0
1,3,11,0
0,7,11,0
2,7,11,0
0,7,11,0
0,7,8,1
0,7,11,1
0,7,11,0
1,7,8,1
0,2,11,0
1,7,8,0
0,7,11,0
1,7,8,0
0,7,8,0
0,7,11,0
0,7,11,0
1,7,11,0
1,1,11,0
6,7,8,0
2,7,11,0
0,7,11,0
1,7,11,0
0,4,8,1
1,3,11,0
1,7,7,1
0,7,11,0
0,7,11,1
2,5,8,1
0,7,11,0
0,7,11,0
0,7,11,0
1,7,12,0
1,7,12,1
0,7,11,0
0,7,11,0
2,3,8,1
1,2,11,0
0,7,11,0
0,1,11,0
2,7,12,0
0,7,8,1
1,7,12,1
0,7,11,0
0,7,11,0
2,7,11,0
0,7,11,1
4,7,8,0
2,5,11,0
0,7,14,0
0,7,14,0
1,2,12,1
0,7,11,0
2,7,11,0
0,7,11,0
1,7,11,0
0,7,8,1
0,7,11,0
0,7,11,0
10,7,7,0
1,7,11,0
0,7,12,1
0,7,11,0
0,7,11,0
5,7,7,0
2,7,7,1
1,4,12,1
5,7,12,0
0,7,11,0
0,7,11,0
0,1,11,0
5,7,7,0
2,7,8,1
0,7,11,0
0,0,11,0
2,7,11,0
4,7,7,0
0,2,8,0
0,7,11,0
0,7,11,0
10,7,8,0
0,7,11,0
6,7,7,0
3,5,7,1
2,7,8,1
0,0,11,0
1,7,12,1
0,7,11,1
2,7,11,0
0,7,11,0
0,7,12,1
0,7,11,0
1,7,8,1
2,5,7,1
0,1,12,1
0,1,8,1
0,7,11,0
1,7,11,0
0,7,8,1
0,7,8,0
0,7,11,0
10,7,11,0
0,7,11,0
0,7,11,0
0,7,11,1
1,6,8,0
1,7,11,0
0,7,11,1
0,7,8,1
0,0,11,1
