Age_band,Title,Embarked,Survived
1,11,0,0
2,12,1,1
1,8,0,1
2,12,0,1
2,11,0,0
2,11,2,0
3,11,0,0
0,7,0,0
1,12,0,1
0,12,1,1
0,8,0,1
3,8,0,1
1,11,0,0
2,11,0,0
0,8,0,0
3,12,0,1
0,7,2,0
2,11,0,1
1,12,0,0
2,12,1,1
2,11,0,0
2,11,0,1
0,8,2,1
1,11,0,1
0,8,0,0
2,12,0,1
2,11,1,0
1,11,0,0
1,8,2,1
2,11,0,0
2,2,1,0
2,12,1,1
1,8,2,1
4,11,0,0
1,11,1,0
2,11,0,0
2,11,1,1
1,11,0,0
1,8,0,0
0,8,1,1
2,12,0,0
1,12,0,0
2,11,1,0
0,8,1,1
1,8,2,1
2,11,0,0
2,11,2,0
1,8,2,1
2,11,1,0
1,12,0,0
0,7,0,0
1,11,0,0
3,12,1,1
1,12,0,1
4,11,1,0
2,11,0,1
1,8,0,1
1,11,1,0
0,8,0,1
0,7,0,0
1,11,1,0
2,8,0,1
2,11,0,0
0,7,0,0
2,11,1,0
0,7,1,1
1,12,0,1
1,11,0,0
1,8,0,1
1,11,0,0
1,11,0,0
0,8,0,0
1,11,0,0
1,11,1,0
1,11,0,1
1,11,0,0
2,11,0,0
2,11,0,0
0,7,0,1
1,8,0,1
1,11,0,0
1,11,0,1
1,8,2,1
1,11,0,0
1,8,0,1
2,12,0,1
0,11,0,0
2,11,0,0
1,8,0,1
1,11,0,0
1,11,0,0
1,11,0,0
2,11,0,0
1,11,0,0
3,11,0,0
2,11,0,0
4,11,1,0
1,11,1,1
2,12,0,1
2,11,0,0
1,8,0,0
2,11,0,0
1,11,0,0
2,11,0,0
2,11,0,0
1,11,0,0
1,8,0,1
2,11,0,1
2,11,0,0
1,8,2,1
2,11,0,0
0,8,1,0
1,11,0,0
1,8,0,0
1,8,1,0
1,11,0,0
4,11,2,0
1,11,0,0
1,11,1,0
0,8,0,0
1,11,0,0
2,11,0,0
2,11,1,0
2,8,0,1
3,11,0,0
0,7,1,1
2,11,2,0
1,11,0,1
1,8,1,1
2,11,0,0
2,11,1,0
1,11,0,0
2,12,0,0
1,12,0,1
1,11,0,0
1,11,1,0
1,8,0,1
2,11,0,0
0,11,0,0
1,11,1,0
2,12,1,0
1,8,0,1
1,12,0,1
1,11,2,0
1,11,0,0
1,11,0,0
1,11,0,1
0,8,0,0
2,11,0,0
2,14,0,0
3,14,0,0
1,12,0,1
3,11,0,0
2,11,0,0
2,11,0,0
3,11,1,0
0,8,2,1
1,11,0,0
2,11,0,0
0,7,0,0
2,11,0,0
2,12,0,1
1,11,0,0
1,11,0,0
0,7,0,0
0,7,0,1
2,12,0,1
2,12,0,0
2,11,0,0
1,11,0,0
3,11,0,0
0,7,2,0
0,8,0,1
1,11,0,0
3,11,1,0
1,11,0,0
0,7,0,0
3,8,1,0
1,11,0,0
2,11,0,0
1,8,0,0
2,11,1,0
0,7,0,0
0,7,0,1
0,8,0,1
2,11,0,0
2,12,2,1
2,11,0,1
2,11,2,0
2,11,0,0
1,12,0,1
1,11,0,0
1,8,0,1
0,7,0,1
2,12,1,1
3,8,1,1
2,11,2,0
2,11,0,0
1,8,2,1
1,8,0,0
1,11,0,0
2,11,0,0
2,11,0,0
2,11,1,0
1,11,0,1
0,8,0,0
1,11,0,0
1,11,1,1
0,8,2,1
2,11,1,1
1,11,0,0
2,8,0,1
1,11,0,0
1,11,0,0
2,11,2,0
1,8,1,1
1,8,0,1
2,11,0,0
1,8,1,1
1,11,0,0
0,11,0,1
1,11,0,0
3,11,0,0
2,11,0,0
2,11,0,1
1,11,0,0
1,11,0,1
1,11,0,0
1,11,0,0
1,8,0,0
2,12,0,1
1,11,0,0
3,11,0,0
0,8,0,1
1,11,0,0
1,8,0,0
2,11,0,0
0,8,0,1
1,11,0,0
2,11,0,0
1,8,1,0
1,8,2,1
1,11,0,0
1,11,0,0
1,11,1,0
2,3,2,0
1,8,0,0
1,12,0,1
2,11,0,1
3,14,0,0
2,11,0,0
1,12,0,0
3,11,0,0
1,11,0,0
2,12,0,0
1,12,1,1
2,12,1,1
1,8,0,1
2,8,1,1
